element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Hg	1	"85.1993"	"0.0009"	"85.1993"	"0.0009"	"a"	""	""		"0.000"	"117371.9"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).11p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"85.7537"	"0.0009"	"85.7502"	"0.0009"	"a*"	""	""		"0.000"	"116617.8"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).7f"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"85.7537"	"0.0009"	"85.7551"	"0.0009"	"a*"	""	""		"0.000"	"116611.2"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).7f"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"85.8341"	"0.0009"	"85.8341"	"0.0009"	"a"	""	""		"0.000"	"116503.8"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).10p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"86.7724"	"0.0009"	"86.7729"	"0.0008"	"a"	""	""		"0.000"	"115243.4"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).6f"	"2[1/2]*"	"1"		""	"L400"	
Hg	1	"86.7852"	"0.0025"	"86.7815"	"0.0009"	"a"	""	""		"0.000"	"115231.9"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).6f"	"2[3/2]*"	"1"		""	"L2725"	
Hg	1	"86.925"	"0.005"	"86.925"	"0.005"	"a"	""	""		"0.000"	"115042"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).9p"	"2[3/2]*"	"1"		""	"L400"	
Hg	3	"87.859"	"0.010"	""	""	"2"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	3	"88.648"	"0.010"	""	""	"1"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	1	"88.7127"	"0.0025"	"88.7126"	"0.0016"	"a"	""	""		"0.000"	"112723.5"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).5f"	"2[1/2]*"	"1"		""	"L2725"	
Hg	1	"88.7301"	"0.0025"	"88.7301"	"0.0016"	"a"	""	""		"0.000"	"112701.3"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).5f"	"2[3/2]*"	"1"		""	"L2725"	
Hg	1	"89.069"	"0.007"	"89.069"	"0.007"	"10h"	""	""		"0.000"	"112273"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).8p"	"2[3/2]*"	"1"		""	"L15166c86"	
Hg	2	"89.3085"	"0.0005"	"89.30847"	"0.00010"	"200000"	"5.8e+07"	"1.4e-02"		"0.000"	"111971.464"	"5d10.6s"	"2S"	"1/2"	"5d10.7p"	"2P*"	"3/2"		"T7226"	"L11760"	
Hg	2	"89.3287"	"0.0005"	""	""	"2000"	""	""		""	""	""	""	""	""	""	""		""	"L11760"	
Hg	2	"91.5819"	"0.0005"	"91.58210"	"0.00010"	"120000"	"1.3e+09"	"3.3e-01"		"0.000"	"109191.648"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"3/2"		"T7226"	"L11760"	
Hg	2	"92.3377"	"0.0005"	"92.33765"	"0.00010"	"350"	"6.5e+08"	"8.3e-02"		"0.000"	"108298.183"	"5d10.6s"	"2S"	"1/2"	"5d10.7p"	"2P*"	"1/2"		"T7226"	"L11760"	
Hg	2	"94.0736"	"0.0005"	"94.07391"	"0.00010"	"25000"	"7.0e+08"	"9.3e-02"		"0.000"	"106299.401"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,3P<2>)*"	"1/2"		"T7226"	"L11760"	
