element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Na	10	""	""	"3.64216"	"0.00003"	""	"8.85e+09"	"1.76e-03"	A	"(8935368.6)"	"(11680991)"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.64216"	"0.00003"	""	"8.84e+09"	"5.86e-04"	A	"(8935368.6)"	"(11680991)"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"0"		"T5231c64,LS"	""	
Na	10	""	""	"3.69084"	"0.00003"	""	"1.25e+10"	"2.56e-03"	A	"(8935368.6)"	"(11644781)"	"1s.2s"	"3S"	"1"	"1s.8p"	"3P*"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.69084"	"0.00003"	""	"1.25e+10"	"8.54e-04"	A	"(8935368.6)"	"(11644781)"	"1s.2s"	"3S"	"1"	"1s.8p"	"3P*"	"0"		"T5231c64,LS"	""	
Na	10	""	""	"3.69084"	"0.00003"	""	"1.25e+10"	"4.27e-03"	A	"(8935368.6)"	"(11644781)"	"1s.2s"	"3S"	"1"	"1s.8p"	"3P*"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"3.72597"	"0.00003"	""	"2.19e+08"	"1.37e-04"	A	"(9022385.5)"	"(11706251)"	"1s.2p"	"3P*"	"0"	"1s.10s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.72670"	"0.00003"	""	"6.58e+08"	"1.37e-04"	A	"(9022908.5)"	"(11706251)"	"1s.2p"	"3P*"	"1"	"1s.10s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.73004"	"0.00003"	""	"1.09e+09"	"1.37e-04"	A	"(9025315.7)"	"(11706251)"	"1s.2p"	"3P*"	"2"	"1s.10s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.73231"	"0.00003"	""	"6.16e+09"	"3.86e-03"	A	"(9028021.4)"	"(11707327)"	"1s.2s"	"1S"	"0"	"1s.10p"	"1P*"	"1"		"T5231c64"	""	
Na	10	""	""	"3.76258"	"0.00003"	""	"3.03e+08"	"1.93e-04"	A	"(9022385.5)"	"(11680134)"	"1s.2p"	"3P*"	"0"	"1s.9s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.76332"	"0.00003"	""	"9.04e+08"	"1.92e-04"	A	"(9022908.5)"	"(11680134)"	"1s.2p"	"3P*"	"1"	"1s.9s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.76428"	"0.00003"	""	"1.88e+10"	"1.33e-03"	A	"(8935368.6)"	"(11591920)"	"1s.2s"	"3S"	"1"	"1s.7p"	"3P*"	"0"		"T5231c64,LS"	""	
Na	10	""	""	"3.76428"	"0.00003"	""	"1.88e+10"	"6.64e-03"	A	"(8935368.6)"	"(11591920)"	"1s.2s"	"3S"	"1"	"1s.7p"	"3P*"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"3.76428"	"0.00003"	""	"1.88e+10"	"3.99e-03"	A	"(8935368.6)"	"(11591920)"	"1s.2s"	"3S"	"1"	"1s.7p"	"3P*"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.76674"	"0.00003"	""	"1.50e+09"	"1.92e-04"	A	"(9025315.7)"	"(11680134)"	"1s.2p"	"3P*"	"2"	"1s.9s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.76848"	"0.00003"	""	"8.44e+09"	"5.39e-03"	A	"(9028021.4)"	"(11681612)"	"1s.2s"	"1S"	"0"	"1s.9p"	"1P*"	"1"		"T5231c64"	""	
Na	10	""	""	"3.81509"	"0.00003"	""	"4.34e+08"	"2.84e-04"	A	"(9022385.5)"	"(11643558)"	"1s.2p"	"3P*"	"0"	"1s.8s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.81585"	"0.00003"	""	"1.30e+09"	"2.84e-04"	A	"(9022908.5)"	"(11643558)"	"1s.2p"	"3P*"	"1"	"1s.8s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.81936"	"0.00003"	""	"2.16e+09"	"2.83e-04"	A	"(9025315.7)"	"(11643558)"	"1s.2p"	"3P*"	"2"	"1s.8s"	"3S"	"1"		"T5231c64,LS"	""	
